commune,taux
"MARSEILLE 8EME",98.77
"MARSEILLE 9EME",98.48
"MARSEILLE 2EME",97.67
"LA CIOTAT",96.77
"MARSEILLE 10EME",96.30
"MARSEILLE 15EME",96.15
ASNIERES-SUR-SEINE,95.06
DRANCY,94.74
"MARSEILLE 7EME",94.44
"MARSEILLE 1ER",94.37
BAGNOLET,93.75
PANTIN,93.75
DIEPPE,93.75
ROMAINVILLE,93.33
CASSIS,93.33
BONDY,92.31
GUILHERAND-GRANGES,92.31
"LES LILAS",91.67
NOISY-LE-SEC,91.67
"MARSEILLE 5EME",91.67
"MARSEILLE 14EME",90.91
COLOMBES,90.70
"MARSEILLE 6EME",89.29
"MARSEILLE 4EME",87.50
"MARSEILLE 3EME",87.18
"LA GARENNE-COLOMBES",85.71
FONTENAY-LE-COMTE,85.71
NOTRE-DAME-DE-MONTS,85.71
NANGIS,85.71
PERIGUEUX,85.71
NOIRMOUTIER-EN-L'ILE,83.33
QUEND,83.33
BAILLY-ROMAINVILLIERS,83.33
MONTIVILLIERS,83.33
WIMEREUX,83.33
CHANTEPIE,83.33
MOULINS,83.33
VIERZON,83.33
CARNOUX-EN-PROVENCE,83.33
TOURNON-SUR-RHONE,81.25
"SAINTE SAVINE",81.25
KOUROU,80.00
VOISINS-LE-BRETONNEUX,80.00
ROCHETTE(LA),80.00
BIOT,80.00
ONDRES,80.00
LOCHES,80.00
CALVISSON,80.00
QUIMPER,80.00
ALLAUCH,80.00
VESOUL,78.95
VAUJOURS,77.78
AMBERIEU-EN-BUGEY,77.78
"BALARUC LES BAINS",76.67
STAINS,75.00
"VIGNEUX SUR SEINE",75.00
BALLAINVILLIERS,75.00
BOISSY-SOUS-SAINT-YON,75.00
ISLE,75.00
"FAUTE-SUR-MER (LA)",75.00
VILLEPREUX,75.00
BONNIERES-SUR-SEINE,75.00
ANNONAY,75.00
L'ESCARENE,75.00
"LES PONTS DE CE",75.00
INDRE,75.00
ROCHE-LA-MOLIERE,75.00
LABENNE,75.00
PRADES-LE-LEZ,75.00
LOUDEAC,75.00
ORNEX,75.00
AMIENS,73.91
TREMBLAY-EN-FRANCE,72.73
SAINT-CHAMOND,72.22
ARNOUVILLE,71.43
MOUVAUX,71.43
BIGANOS,71.43
"CASTANET TOLOSAN",71.43
BLONVILLE-SUR-MER,71.43
NEVERS,70.00
ECOUEN,66.67
MONTSOULT,66.67
SURVILLIERS,66.67
SAINT-GERMAIN-LES-CORBEIL,66.67
CHEPTAINVILLE,66.67
MORIGNY-CHAMPIGNY,66.67
PIERREFEU-DU-VAR,66.67
"LA VILLE DIEU DU TEMPLE",66.67
"MESNIL-LE-ROI (LE)",66.67
CERNAY-LA-VILLE,66.67
GRISY-SUISNES,66.67
"MONTEREAU FAULT YONNE",66.67
SAINT-PIERRE-LES-NEMOURS,66.67
LONGPERRIER,66.67
COLLEGIEN,66.67
MAROMME,66.67
ONNION,66.67
SAINT-PERAY,66.67
