code_departement,commune,valeur_fonciere,ranking
6,SAINT-JEAN-CAP-FERRAT,968750.000000,1
6,EZE,655000.000000,2
6,MOUANS-SARTOUX,476898.000000,3
13,GIGNAC-LA-NERTHE,330000.000000,1
13,"SAINT SAVOURNIN",314425.000000,2
13,CASSIS,313416.875000,3
33,LEGE-CAP-FERRET,549500.636364,1
33,VAYRES,335000.000000,2
33,ARCACHON,307435.927273,3
59,BERSEE,433202.000000,1
59,CYSOING,408550.000000,2
59,HALLUIN,322250.000000,3
69,"VILLE SUR JARNIOUX",485300.000000,1
69,"LYON 2EME",455217.260870,2
69,"LYON 6EME",426968.250000,3
